
00;00;99;6543;0.579674;7067;0.612669;9485;0.477263;21808;1.57569;707;0.012649;708;0.014583;1011;0.026377;1011;0.025153;309;0.004455;302;0.003666;
00;01;99;6545;99.6291;7070;99.7806;9489;83.9021;21812;100.63;709;0.405424;711;0.391119;1014;0.963609;1014;0.962534;312;0.029756;305;0.037922;
00;05;99;6553;496.209;7082;496.444;9505;410.914;21828;496.793;717;1.8914;720;1.7571;1024;4.6382;1022;4.73156;316;0.124242;312;0.169206;
00;100;99;6663;8924.37;7227;9912.45;9652;4565.01;21931;9920.36;737;20.2675;744;13.4223;1049;44.4935;1048;46.8928;320;1.38298;319;1.53036;
00;50;99;6609;4954.5;7165;4956.82;9630;3350.2;21928;4963.43;737;11.3799;744;8.25258;1049;25.2578;1048;29.0643;320;0.728289;319;0.840618;
04;100;99;6662;9019.43;7227;9909.81;9659;4505.14;21928;9924.42;746;16.3435;747;13.6195;1056;34.4183;1051;42.4743;323;0.972198;323;1.08975;
04;25;50;6575;1252.93;7116;1253.41;9568;1252.3;21873;1257.61;737;7.13047;744;5.89375;1049;16.0765;1043;18.6899;323;0.37172;322;0.470856;
04;50;99;6609;4955.37;7165;4955.11;9630;3307.21;21929;4965;742;10.866;745;8.57517;1056;23.0389;1051;27.4307;323;0.60138;323;0.679887;
1000;10000;200;752;621.034;753;77.9898;1064;1028.53;1063;1233.17;325;0.635199;325;4.2238;
100;1000;200;750;84.9541;752;50.3476;1063;136.535;1054;281.375;325;0.637483;323;8.4875;
10;100;99;6662;8988.85;7227;9909.73;9659;4451.46;21917;9927.07;746;16.3817;750;12.89;1061;30.8743;1051;43.128;325;0.633018;323;1.07226;
10;10;99;6563;991.807;7097;991.893;9523;798.076;21847;995.079;725;3.48479;729;3.21344;1034;8.3202;1028;9.02731;319;0.212557;318;0.298039;
10;25;10;6566;252.236;7101;253.468;9542;253.179;21852;262.34;737;6.85122;744;5.97896;1049;15.9361;1043;18.4069;323;0.367982;322;0.466171;
10;25;50;6576;1253.46;7116;1253.16;9568;1252.28;21878;1256.87;737;7.15536;744;5.87619;1049;16.0524;1043;18.5231;323;0.377679;322;0.496618;
10;25;999;6588;3404.45;7137;3609.99;9568;1995.8;
1;1;1;6543;1.61417;7067;1.70358;9489;1.61569;21812;2.70252;709;0.410451;711;0.394356;1014;0.974383;1014;0.974953;312;0.032176;305;0.043806;
2;2;2;6543;4.65634;7068;4.96562;9493;4.67437;21816;5.98811;711;0.811784;714;0.736368;1017;1.95961;1016;1.90152;313;0.055762;307;0.078973;
25;1000;99;747;85.8;751;48.9017;1062;130.215;1051;316.754;325;0.63372;323;8.02132;
25;100;99;6663;9028.6;7226;9911.19;9659;4465.38;21929;9924.96;747;15.7552;750;12.9088;1061;30.9201;1051;42.6001;325;0.637751;323;1.09274;
25;25;200;6588;3182.37;7137;3819.6;9568;1921.89;21892;5007.43;737;6.91013;744;5.90205;1049;16.038;1043;18.5179;323;0.372845;322;0.468623;
25;25;99;6580;2477.72;7131;2478.24;9568;1858.2;21892;2484.41;737;7.06881;744;6.0526;1049;16.3194;1043;18.4889;323;0.380065;322;0.468545;
50;1000;99;748;87.0787;751;50.2223;1064;113.207;1053;288.824;325;0.639794;325;5.47703;
50;100;99;747;16.3192;750;13.366;1061;30.9723;1051;42.7883;325;0.637313;323;1.13449;
